ev_id,connection_minutes_5min,required_soc_percent
1137,28,6.002
1138,22,21.186
1139,57,31.638
1140,24,14.144
1141,6,32.0
1142,11,12.076
1143,65,20.0
1144,162,80.0
1145,62,30.0
1146,122,20.3
1147,124,40.0
1148,57,34.894
1149,108,34.93
1150,109,24.162
1151,107,10.746
1152,123,32.0
1153,159,11.546
1154,116,37.5
1155,71,14.0
1156,60,12.532
1157,122,40.0
1158,138,13.31
1159,128,24.562
1160,87,77.8
1161,98,60.0
1162,105,47.34
1163,52,48.0
1164,108,19.422
1165,129,60.0
1166,97,34.804
1167,130,10.0
1168,94,45.0
1169,53,40.92
1170,138,100.0
1171,117,37.3
1172,125,78.0
1173,99,16.0
1174,46,72.0
1175,112,19.98
1176,129,100.0
1177,103,60.0
1178,127,8.668
1179,11,4.094
1180,48,24.894
1181,108,40.0
1182,96,33.3
1183,101,5.272
1184,111,27.286
1185,106,16.848
1186,117,24.0
1187,67,34.812
1188,104,34.8
1189,89,50.0
1190,115,48.0
1191,100,62.92
1192,95,1.504
1193,112,32.758
1194,73,33.3
1195,132,24.0
1196,49,30.352
1197,12,32.0
1198,47,28.168
1199,29,16.974
1200,35,13.64
1201,14,12.96
1202,43,32.0
1203,21,25.28
1204,26,14.0
1205,19,11.642
1206,20,20.636
1207,15,6.074
1208,53,42.5
1209,20,19.956
1210,2,1.528
1211,17,18.022
1212,76,20.0
1213,12,6.062
1214,64,40.0
1215,39,85.68
1216,48,22.576
1217,9,8.92
1218,37,34.778
1219,16,26.64
1220,72,34.744
1221,109,69.96
1222,65,40.0
1223,133,13.32
1224,77,34.586
1225,118,32.0
1226,134,24.13
1227,93,34.806
1228,119,40.0
1229,69,11.37
1230,111,23.37
1231,124,37.5
1232,112,37.56
1233,128,20.3
1234,88,24.0
1235,119,100.0
1236,134,57.12
1237,110,36.0
1238,67,48.0
1239,108,23.856
1240,42,56.0
1241,113,48.314
1242,62,26.88
1243,50,17.548
1244,126,90.0
1245,117,13.616
1246,124,23.388
1247,121,24.0
1248,123,47.34
1249,106,60.0
1250,98,90.0
1251,113,36.0
1252,107,20.46
1253,123,10.018
1254,126,33.3
1255,67,50.0
1256,127,34.21
1257,84,95.0
